,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
215,stop_loss,long,150.474,2023-11-03 01:50:00,150.48107142857143,150.51667857142854,150.475,-1.0,2023-11-03 01:55:00
216,sell,short,150.416,2023-11-03 04:00:00,150.46657142857143,150.3317142857143,,,
217,stop_loss,short,150.416,2023-11-03 04:35:00,150.37135714285714,150.3317142857143,150.395,-1.0,2023-11-03 04:40:00
218,buy,long,149.665,2023-11-03 16:20:00,149.45982142857142,150.00696428571428,,,
219,stop_loss,long,149.665,2023-11-03 16:50:00,149.45982142857142,150.00696428571428,149.455,-1.0,2023-11-03 16:55:00
220,buy,long,150.65,2023-11-07 16:50:00,150.56975,150.78375,,,
221,stop_loss,long,150.65,2023-11-07 16:55:00,150.56975,150.78375,150.544,-1.0,2023-11-07 17:00:00
222,sell,short,150.481,2023-11-07 18:00:00,150.56285714285713,150.34457142857144,,,
223,stop_loss,short,150.481,2023-11-07 19:15:00,150.56285714285713,150.34457142857144,150.589,-1.0,2023-11-07 19:20:00
224,sell,short,150.73,2023-11-08 13:50:00,150.76674999999997,150.66875,,,
225,stop_loss,short,150.73,2023-11-08 13:50:00,150.76674999999997,150.66875,150.768,-1.0,2023-11-08 13:55:00
226,sell,short,150.857,2023-11-08 17:15:00,150.92835714285715,150.73807142857143,,,
227,stop_loss,short,150.857,2023-11-08 18:25:00,150.792,150.73807142857143,150.813,-1.0,2023-11-08 18:30:00
228,sell,short,151.261,2023-11-10 00:30:00,151.30642857142857,151.1852857142857,,,
229,stop_loss,short,151.261,2023-11-10 00:50:00,151.30642857142857,151.1852857142857,151.322,-1.0,2023-11-10 00:55:00
230,buy,long,151.877,2023-11-13 16:40:00,151.8352142857143,151.94664285714288,,,
231,stop_loss,long,151.877,2023-11-13 16:50:00,151.8352142857143,151.94664285714288,151.502,-1.0,2023-11-13 16:55:00
232,take_profit,short,151.502,2023-11-13 16:55:00,151.59757142857143,151.3427142857143,151.323,1.5,2023-11-13 17:00:00
233,sell,short,151.65,2023-11-14 06:30:00,151.67614285714285,151.60642857142858,,,
234,stop_loss,short,151.65,2023-11-14 06:50:00,151.67614285714285,151.60642857142858,151.684,-1.0,2023-11-14 06:55:00
235,sell,short,150.364,2023-11-15 12:20:00,150.45978571428572,150.20435714285713,,,
236,stop_loss,short,150.364,2023-11-15 12:35:00,150.45978571428572,150.20435714285713,150.46,-1.0,2023-11-15 12:40:00
237,sell,short,151.243,2023-11-16 06:55:00,151.285,151.17299999999997,,,
238,stop_loss,short,151.243,2023-11-16 07:10:00,151.285,151.17299999999997,151.289,-1.0,2023-11-16 07:15:00
239,buy,long,151.401,2023-11-16 10:10:00,151.35525,151.47725000000003,,,
240,stop_loss,long,151.401,2023-11-16 10:15:00,151.35525,151.47725000000003,151.346,-1.0,2023-11-16 10:20:00
